,latin_name,english_name,edibility,filename,mushroomworld_url,image_url
1,Albatrellus ovinus,Sheep Polypore,Edible,Albatrellusovinus2.JPG,http://www.mushroom.world/show?n=Albatrellus-ovinus,http://www.mushroom.world/data/fungi/Albatrellusovinus2.JPG
2,Albatrellus ovinus,Sheep Polypore,Edible,Albatrellusovinus3.JPG,http://www.mushroom.world/show?n=Albatrellus-ovinus,http://www.mushroom.world/data/fungi/Albatrellusovinus3.JPG
3,Albatrellus ovinus,Sheep Polypore,Edible,Albatrellusovinus4.JPG,http://www.mushroom.world/show?n=Albatrellus-ovinus,http://www.mushroom.world/data/fungi/Albatrellusovinus4.JPG
4,Albatrellus ovinus,Sheep Polypore,Edible,Albatrellusovinus5.JPG,http://www.mushroom.world/show?n=Albatrellus-ovinus,http://www.mushroom.world/data/fungi/Albatrellusovinus5.JPG
0,Amanita ceciliae,Snakeskin Grisette,Inedible,Amanitaceciliae1.JPG,http://www.mushroom.world/show?n=Amanita-ceciliae,http://www.mushroom.world/data/fungi/Amanitaceciliae1.JPG
1,Amanita ceciliae,Snakeskin Grisette,Inedible,Amanitaceciliae2.JPG,http://www.mushroom.world/show?n=Amanita-ceciliae,http://www.mushroom.world/data/fungi/Amanitaceciliae2.JPG
2,Amanita ceciliae,Snakeskin Grisette,Inedible,Amanitaceciliae3.JPG,http://www.mushroom.world/show?n=Amanita-ceciliae,http://www.mushroom.world/data/fungi/Amanitaceciliae3.JPG
3,Amanita ceciliae,Snakeskin Grisette,Inedible,Amanitaceciliae4.JPG,http://www.mushroom.world/show?n=Amanita-ceciliae,http://www.mushroom.world/data/fungi/Amanitaceciliae4.JPG
0,Amanita fulva,Tawny grisette,Inedible,Amanitafulva1.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva1.JPG
1,Amanita fulva,Tawny grisette,Inedible,Amanitafulva2.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva2.JPG
2,Amanita fulva,Tawny grisette,Inedible,Amanitafulva3.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva3.JPG
3,Amanita fulva,Tawny grisette,Inedible,Amanitafulva4.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva4.JPG
4,Amanita fulva,Tawny grisette,Inedible,Amanitafulva5.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva5.JPG
5,Amanita fulva,Tawny grisette,Inedible,Amanitafulva6.JPG,http://www.mushroom.world/show?n=Amanita-fulva,http://www.mushroom.world/data/fungi/Amanitafulva6.JPG
0,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria1.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria1.JPG
1,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria2.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria2.JPG
2,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria3.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria3.JPG
3,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria4.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria4.JPG
4,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria5.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria5.JPG
5,Amanita muscaria,Fly Amanita,Poisonous,Amanitamuscaria6.JPG,http://www.mushroom.world/show?n=Amanita-muscaria,http://www.mushroom.world/data/fungi/Amanitamuscaria6.JPG
0,Amanita pantherina,Panther Amanita,Poisonous,Amanitapantherina1.jpg,http://www.mushroom.world/show?n=Amanita-pantherina,http://www.mushroom.world/data/fungi/Amanitapantherina1.jpg
1,Amanita pantherina,Panther Amanita,Poisonous,Amanitapantherina2.jpg,http://www.mushroom.world/show?n=Amanita-pantherina,http://www.mushroom.world/data/fungi/Amanitapantherina2.jpg
2,Amanita pantherina,Panther Amanita,Poisonous,Amanitapantherina3.jpg,http://www.mushroom.world/show?n=Amanita-pantherina,http://www.mushroom.world/data/fungi/Amanitapantherina3.jpg
0,Amanita phalloides,Death Cap Amanita,Lethally poisonous,Amanitaphalloides1.JPG,http://www.mushroom.world/show?n=Amanita-phalloides,http://www.mushroom.world/data/fungi/Amanitaphalloides1.JPG
1,Amanita phalloides,Death Cap Amanita,Lethally poisonous,Amanitaphalloides2.jpg,http://www.mushroom.world/show?n=Amanita-phalloides,http://www.mushroom.world/data/fungi/Amanitaphalloides2.jpg
2,Amanita phalloides,Death Cap Amanita,Lethally poisonous,Amanitaphalloides3.jpg,http://www.mushroom.world/show?n=Amanita-phalloides,http://www.mushroom.world/data/fungi/Amanitaphalloides3.jpg
3,Amanita phalloides,Death Cap Amanita,Lethally poisonous,Amanitaphalloides4.jpg,http://www.mushroom.world/show?n=Amanita-phalloides,http://www.mushroom.world/data/fungi/Amanitaphalloides4.jpg
4,Amanita phalloides,Death Cap Amanita,Lethally poisonous,Amanitaphalloides5.jpg,http://www.mushroom.world/show?n=Amanita-phalloides,http://www.mushroom.world/data/fungi/Amanitaphalloides5.jpg
0,Amanita porphyria,Grey veiled amanita,Poisonous,Amanitaporphyria1.JPG,http://www.mushroom.world/show?n=Amanita-porphyria,http://www.mushroom.world/data/fungi/Amanitaporphyria1.JPG
1,Amanita porphyria,Grey veiled amanita,Poisonous,Amanitaporphyria2.JPG,http://www.mushroom.world/show?n=Amanita-porphyria,http://www.mushroom.world/data/fungi/Amanitaporphyria2.JPG
2,Amanita porphyria,Grey veiled amanita,Poisonous,Amanitaporphyria3.JPG,http://www.mushroom.world/show?n=Amanita-porphyria,http://www.mushroom.world/data/fungi/Amanitaporphyria3.JPG
3,Amanita porphyria,Grey veiled amanita,Poisonous,Amanitaporphyria4.JPG,http://www.mushroom.world/show?n=Amanita-porphyria,http://www.mushroom.world/data/fungi/Amanitaporphyria4.JPG
4,Amanita porphyria,Grey veiled amanita,Poisonous,Amanitaporphyria5.JPG,http://www.mushroom.world/show?n=Amanita-porphyria,http://www.mushroom.world/data/fungi/Amanitaporphyria5.JPG
0,Amanita regalis,Royal Fly Agaric,Poisonous,Amanitaregalis1.JPG,http://www.mushroom.world/show?n=Amanita-regalis,http://www.mushroom.world/data/fungi/Amanitaregalis1.JPG
1,Amanita regalis,Royal Fly Agaric,Poisonous,Amanitaregalis2.JPG,http://www.mushroom.world/show?n=Amanita-regalis,http://www.mushroom.world/data/fungi/Amanitaregalis2.JPG
2,Amanita regalis,Royal Fly Agaric,Poisonous,Amanitaregalis3.JPG,http://www.mushroom.world/show?n=Amanita-regalis,http://www.mushroom.world/data/fungi/Amanitaregalis3.JPG
3,Amanita regalis,Royal Fly Agaric,Poisonous,Amanitaregalis4.JPG,http://www.mushroom.world/show?n=Amanita-regalis,http://www.mushroom.world/data/fungi/Amanitaregalis4.JPG
4,Amanita regalis,Royal Fly Agaric,Poisonous,Amanitaregalis5.JPG,http://www.mushroom.world/show?n=Amanita-regalis,http://www.mushroom.world/data/fungi/Amanitaregalis5.JPG
0,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens1.JPG,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens1.JPG
1,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens2.JPG,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens2.JPG
2,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens3.JPG,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens3.JPG
3,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens4.JPG,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens4.JPG
4,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens5.JPG,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens5.JPG
5,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens6.jpg,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens6.jpg
6,Amanita rubescens,Blushing Amanita,Poisonous,Amanitarubescens7.jpg,http://www.mushroom.world/show?n=Amanita-rubescens,http://www.mushroom.world/data/fungi/Amanitarubescens7.jpg
0,Amanita virosa,Destroying angel,Lethally poisonous,Amanitavirosa1.JPG,http://www.mushroom.world/show?n=Amanita-virosa,http://www.mushroom.world/data/fungi/Amanitavirosa1.JPG
1,Amanita virosa,Destroying angel,Lethally poisonous,Amanitavirosa2.JPG,http://www.mushroom.world/show?n=Amanita-virosa,http://www.mushroom.world/data/fungi/Amanitavirosa2.JPG
2,Amanita virosa,Destroying angel,Lethally poisonous,Amanitavirosa3.JPG,http://www.mushroom.world/show?n=Amanita-virosa,http://www.mushroom.world/data/fungi/Amanitavirosa3.JPG
3,Amanita virosa,Destroying angel,Lethally poisonous,Amanitavirosa4.JPG,http://www.mushroom.world/show?n=Amanita-virosa,http://www.mushroom.world/data/fungi/Amanitavirosa4.JPG
0,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea1.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea1.JPG
1,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea2.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea2.JPG
2,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea3.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea3.JPG
3,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea4.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea4.JPG
4,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea5.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea5.JPG
5,Armillaria mellea,Honey Mushroom,Edible,Armillariamellea6.JPG,http://www.mushroom.world/show?n=Armillaria-mellea,http://www.mushroom.world/data/fungi/Armillariamellea6.JPG
0,Auriscalpium vulgare,Pinecone Tooth,Inedible,Auriscalpiumvulgare1.jpg,http://www.mushroom.world/show?n=Auriscalpium-vulgare,http://www.mushroom.world/data/fungi/Auriscalpiumvulgare1.jpg
1,Auriscalpium vulgare,Pinecone Tooth,Inedible,Auriscalpiumvulgare2.JPG,http://www.mushroom.world/show?n=Auriscalpium-vulgare,http://www.mushroom.world/data/fungi/Auriscalpiumvulgare2.JPG
0,Bankera fuligineoalba,Blushing Flagrant Tooth,Inedible,Bankerafuligineoalba1.jpg,http://www.mushroom.world/show?n=Bankera-fuligineoalba,http://www.mushroom.world/data/fungi/Bankerafuligineoalba1.jpg
0,Boletus badius,Bay Bolete,Edible and good,Boletusbadius1.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius1.JPG
1,Boletus badius,Bay Bolete,Edible and good,Boletusbadius2.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius2.JPG
2,Boletus badius,Bay Bolete,Edible and good,Boletusbadius3.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius3.JPG
3,Boletus badius,Bay Bolete,Edible and good,Boletusbadius4.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius4.JPG
4,Boletus badius,Bay Bolete,Edible and good,Boletusbadius5.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius5.JPG
5,Boletus badius,Bay Bolete,Edible and good,Boletusbadius7.JPG,http://www.mushroom.world/show?n=Boletus-badius,http://www.mushroom.world/data/fungi/Boletusbadius7.JPG
0,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis1.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis1.JPG
1,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis2.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis2.JPG
2,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis3.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis3.JPG
3,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis4.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis4.JPG
4,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis5.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis5.JPG
5,Boletus edulis,King Bolete,Edible and excellent,Boletusedulis6.JPG,http://www.mushroom.world/show?n=Boletus-edulis,http://www.mushroom.world/data/fungi/Boletusedulis6.JPG
0,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus1.jpg,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus1.jpg
1,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus2.JPG,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus2.JPG
2,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus3.JPG,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus3.JPG
3,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus4.JPG,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus4.JPG
4,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus5.JPG,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus5.JPG
5,Boletus pinophilus,Pinewood King Bolete,Edible and excellent,Boletuspinophilus6.JPG,http://www.mushroom.world/show?n=Boletus-pinophilus,http://www.mushroom.world/data/fungi/Boletuspinophilus6.JPG
0,Boletus satanas,Satan's Bolete,Lethally poisonous,Boletussatanas1.jpg,http://www.mushroom.world/show?n=Boletus-satanas,http://www.mushroom.world/data/fungi/Boletussatanas1.jpg
1,Boletus satanas,Satan's Bolete,Lethally poisonous,Boletussatanas2.jpg,http://www.mushroom.world/show?n=Boletus-satanas,http://www.mushroom.world/data/fungi/Boletussatanas2.jpg
0,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus1.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus1.JPG
1,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus2.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus2.JPG
2,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus3.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus3.JPG
3,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus4.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus4.JPG
4,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus5.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus5.JPG
5,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus6.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus6.JPG
6,Boletus subtomentosus,Yellow-cracking Bolete,Edible,Boletussubtomentosus7.JPG,http://www.mushroom.world/show?n=Boletus-subtomentosus,http://www.mushroom.world/data/fungi/Boletussubtomentosus7.JPG
0,Bondarzewia berkeleyi,Berkeley's polypore,Edible,Bondarzewiaberkeleyi1.jpg,http://www.mushroom.world/show?n=Bondarzewia-berkeleyi,http://www.mushroom.world/data/fungi/Bondarzewiaberkeleyi1.jpg
1,Bondarzewia berkeleyi,Berkeley's polypore,Edible,Bondarzewiaberkeleyi2.jpg,http://www.mushroom.world/show?n=Bondarzewia-berkeleyi,http://www.mushroom.world/data/fungi/Bondarzewiaberkeleyi2.jpg
2,Bondarzewia berkeleyi,Berkeley's polypore,Edible,Bondarzewiaberkeleyi3.jpg,http://www.mushroom.world/show?n=Bondarzewia-berkeleyi,http://www.mushroom.world/data/fungi/Bondarzewiaberkeleyi3.jpg
0,Bovista plumbea,Paltry Puffball,Edible,Bovistaplumbea1.JPG,http://www.mushroom.world/show?n=Bovista-plumbea,http://www.mushroom.world/data/fungi/Bovistaplumbea1.JPG
1,Bovista plumbea,Paltry Puffball,Edible,Bovistaplumbea2.JPG,http://www.mushroom.world/show?n=Bovista-plumbea,http://www.mushroom.world/data/fungi/Bovistaplumbea2.JPG
2,Bovista plumbea,Paltry Puffball,Edible,Bovistaplumbea3.JPG,http://www.mushroom.world/show?n=Bovista-plumbea,http://www.mushroom.world/data/fungi/Bovistaplumbea3.JPG
3,Bovista plumbea,Paltry Puffball,Edible,Bovistaplumbea4.JPG,http://www.mushroom.world/show?n=Bovista-plumbea,http://www.mushroom.world/data/fungi/Bovistaplumbea4.JPG
4,Bovista plumbea,Paltry Puffball,Edible,Bovistaplumbea5.JPG,http://www.mushroom.world/show?n=Bovista-plumbea,http://www.mushroom.world/data/fungi/Bovistaplumbea5.JPG
0,Calocera viscosa,Yellow Stagshorn,Inedible,Caloceraviscosa1.JPG,http://www.mushroom.world/show?n=Calocera-viscosa,http://www.mushroom.world/data/fungi/Caloceraviscosa1.JPG
1,Calocera viscosa,Yellow Stagshorn,Inedible,Caloceraviscosa2.JPG,http://www.mushroom.world/show?n=Calocera-viscosa,http://www.mushroom.world/data/fungi/Caloceraviscosa2.JPG
2,Calocera viscosa,Yellow Stagshorn,Inedible,Caloceraviscosa3.jpg,http://www.mushroom.world/show?n=Calocera-viscosa,http://www.mushroom.world/data/fungi/Caloceraviscosa3.jpg
0,Calocybe gambosa,St George's Mushroom,Edible,Calocybegambosa1.JPG,http://www.mushroom.world/show?n=Calocybe-gambosa,http://www.mushroom.world/data/fungi/Calocybegambosa1.JPG
1,Calocybe gambosa,St George's Mushroom,Edible,Calocybegambosa2.JPG,http://www.mushroom.world/show?n=Calocybe-gambosa,http://www.mushroom.world/data/fungi/Calocybegambosa2.JPG
2,Calocybe gambosa,St George's Mushroom,Edible,Calocybegambosa3.JPG,http://www.mushroom.world/show?n=Calocybe-gambosa,http://www.mushroom.world/data/fungi/Calocybegambosa3.JPG
0,Calocybe persicolor,Pink Lawn Trich,Inedible,Calocybepersicolor1.jpg,http://www.mushroom.world/show?n=Calocybe-persicolor,http://www.mushroom.world/data/fungi/Calocybepersicolor1.jpg
0,Calvatia gigantea,Giant puffball,Edible,Calvatiagigantea1.jpg,http://www.mushroom.world/show?n=Calvatia-gigantea,http://www.mushroom.world/data/fungi/Calvatiagigantea1.jpg
1,Calvatia gigantea,Giant puffball,Edible,Calvatiagigantea2.jpg,http://www.mushroom.world/show?n=Calvatia-gigantea,http://www.mushroom.world/data/fungi/Calvatiagigantea2.jpg
2,Calvatia gigantea,Giant puffball,Edible,Calvatiagigantea3.jpg,http://www.mushroom.world/show?n=Calvatia-gigantea,http://www.mushroom.world/data/fungi/Calvatiagigantea3.jpg
3,Calvatia gigantea,Giant puffball,Edible,Calvatiagigantea4.jpg,http://www.mushroom.world/show?n=Calvatia-gigantea,http://www.mushroom.world/data/fungi/Calvatiagigantea4.jpg
0,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata1.JPG,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata1.JPG
1,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata2.JPG,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata2.JPG
2,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata3.JPG,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata3.JPG
3,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata4.JPG,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata4.JPG
4,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata5.jpg,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata5.jpg
5,Cantharellula umbonata,Grayling,Edible,Cantharellulaumbonata6.jpg,http://www.mushroom.world/show?n=Cantharellula-umbonata,http://www.mushroom.world/data/fungi/Cantharellulaumbonata6.jpg
0,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius1.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius1.JPG
1,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius2.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius2.JPG
2,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius3.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius3.JPG
3,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius4.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius4.JPG
4,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius5.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius5.JPG
5,Cantharellus cibarius,Common Chantarelle,Edible and excellent,Cantharelluscibarius6.JPG,http://www.mushroom.world/show?n=Cantharellus-cibarius,http://www.mushroom.world/data/fungi/Cantharelluscibarius6.JPG
0,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus1.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus1.JPG
1,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus2.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus2.JPG
2,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus3.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus3.JPG
3,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus4.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus4.JPG
4,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus5.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus5.JPG
5,Chalciporus piperatus,Peppery Bolete,Inedible,Chalciporuspiperatus6.JPG,http://www.mushroom.world/show?n=Chalciporus-piperatus,http://www.mushroom.world/data/fungi/Chalciporuspiperatus6.JPG
0,Clathrus ruber,Caged stinkhorn,Poisonous,Clathrusruber1.jpg,http://www.mushroom.world/show?n=Clathrus-ruber,http://www.mushroom.world/data/fungi/Clathrusruber1.jpg
1,Clathrus ruber,Caged stinkhorn,Poisonous,Clathrusruber2.jpg,http://www.mushroom.world/show?n=Clathrus-ruber,http://www.mushroom.world/data/fungi/Clathrusruber2.jpg
2,Clathrus ruber,Caged stinkhorn,Poisonous,Clathrusruber3.jpg,http://www.mushroom.world/show?n=Clathrus-ruber,http://www.mushroom.world/data/fungi/Clathrusruber3.jpg
0,Clitocybe clavipes,Club-footed Clitocybe,Inedible,Clitocybeclavipes1.JPG,http://www.mushroom.world/show?n=Clitocybe-clavipes,http://www.mushroom.world/data/fungi/Clitocybeclavipes1.JPG
1,Clitocybe clavipes,Club-footed Clitocybe,Inedible,Clitocybeclavipes2.JPG,http://www.mushroom.world/show?n=Clitocybe-clavipes,http://www.mushroom.world/data/fungi/Clitocybeclavipes2.JPG
2,Clitocybe clavipes,Club-footed Clitocybe,Inedible,Clitocybeclavipes3.JPG,http://www.mushroom.world/show?n=Clitocybe-clavipes,http://www.mushroom.world/data/fungi/Clitocybeclavipes3.JPG
